doi,filename,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,domain_type,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,equity_inclusion,strengths_and_limitations,lessons_learned,validity_notes,coder_id,notes
10.1002/ldr.842,doi_10.1002_ldr.842.pdf,2008,journal_article,Burkina Faso,local,mixed,none_reported,drought-mitigation adaptations,both,knowledge_awareness_learning; participation_coproduction; institutional_governance; access_information_services,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/978-3-030-45106-6_130,doi_10.1007_978-3-030-45106-6_130.pdf,2021,chapter_in_book,Malawi; Zambia,sub-national,mixed,women,climate-smart agriculture (CSA) technologies for resilience-building,both,decision_making_planning; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing,not_reported,mixed_methods,research,surveys; participatory_methods,cross_sectional,no,gender,not_reported,not_reported,none_flagged,LLM,
10.1007/978-3-030-45106-6_204,doi_10.1007_978-3-030-45106-6_204.pdf,2021,chapter_in_book,Nigeria,sub-national,crop,none_reported,underutilized indigenous vegetables as climate adaptation strategy,both,knowledge_awareness_learning; uptake_adoption; yields_productivity; income_assets,"yield (kg/ha), income (USD/year)",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/978-3-319-31392-4_13,doi_10.1007_978-3-319-31392-4_13.html,2016,journal_article,Cameroon,local,crop,none_reported,modifying agricultural calendar and cultivation techniques for corn production,both,decision_making_planning; uptake_adoption; yields_productivity,"rainfall anomaly index, corn yield (t/ha)",mixed_methods,research,surveys; participatory_methods; administrative_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/s10584-005-9035-9,doi_10.1007_s10584-005-9035-9.pdf,2005,journal_article,Brazil,local,agroforestry; mixed,none_reported,local forecasting techniques and coping mechanisms for El Niño-related drought,both,knowledge_awareness_learning; decision_making_planning; behavioral_change; risk_reduction,"rainfall (mm), forest cover loss (ha), accidental fires (number)",mixed_methods,research,surveys; participatory_methods; remote_sensing,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/s10584-022-03477-x,doi_10.1007_s10584-022-03477-x.pdf,2023,journal_article,Brazil,sub-national,mixed,none_reported,traditional ecological knowledge for climate change resilience,both,knowledge_awareness_learning; yields_productivity; income_assets; livelihoods,"traditional ecological knowledge (TEK), socioeconomic impact of pinhão trade, ecosystem services network",qualitative,research,participatory_methods; surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/s10668-021-01545-3,doi_10.1007_s10668-021-01545-3.pdf,2021,journal_article,Indonesia,local,crop,none_reported,resilience to water scarcity,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction; resilience_adaptive_capacity,"years of farming experience (years), number of farm laborers, irrigation infrastructure, direct access to water sources",quantitative,research,surveys,cross_sectional,no,none_reported,Strength: Large sample size of two hundred farmers. Limitation: Single-season follow-up.,not_reported,"small sample (n < 30), single-site study, self-reported outcomes, short follow-up (< 1 season)",LLM,
10.1007/s12571-016-0607-5,doi_10.1007_s12571-016-0607-5.pdf,2016,journal_article,India; Nepal; Pakistan; China,multi-country,crop; mixed,none_reported,local adaptation strategies for climate change impacts on agriculture and food security,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing,"food security index, agricultural productivity (yield), household income, off-farm activities, migration rates",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/s13351-015-4083-1,doi_10.1007_s13351-015-4083-1.html,2015,journal_article,China,sub-national,mixed,none_reported,cropping system adjustment for climate change adaptation,both,uptake_adoption; yields_productivity,"crop yield, temperature increase, precipitation decrease",quantitative,research,surveys; administrative_data,longitudinal,no,none_reported,not_reported,Farmers can reduce negative effects of climate change and minimize crop failure risk by adapting cropping system structure.,none_flagged,LLM,
10.1007/s43621-025-00848-z,doi_10.1007_s43621-025-00848-z.pdf,2025,journal_article,Bangladesh,national,crop,none_reported,stress-resistant varieties and improved agricultural practices for flood resilience,both,uptake_adoption; yields_productivity; income_assets; livelihoods; risk_reduction,"rice production (tons), market prices (USD/kg), adoption rate (%)",mixed_methods,research,secondary_data; participatory_methods,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1007/s44274-025-00357-w,doi_10.1007_s44274-025-00357-w.pdf,2025,journal_article,Bangladesh,sub-national,mixed,none_reported,household adaptation strategies in ephemeral wetlands,both,uptake_adoption; knowledge_awareness_learning; institutional_governance,"household income, farming experience, education level, poverty status, literacy rate",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/bs.agron.2016.06.003,doi_10.1016_bs.agron.2016.06.003.pdf,2016,journal_article,India,local,mixed,none_reported,climate resilient villages for sustainable food security,both,decision_making_planning; institutional_governance; uptake_adoption; yields_productivity; livelihoods,not_reported,qualitative,research,not_reported,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.agee.2013.08.017,doi_10.1016_j.agee.2013.08.017.pdf,2014,journal_article,Zambia,national,mixed,none_reported,conservation farming practices for climate adaptation,both,uptake_adoption; yields_productivity,"adoption rate, yield (t/ha)",quantitative,research,surveys; administrative_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.agsy.2007.02.003,doi_10.1016_j.agsy.2007.02.003.pdf,2007,journal_article,Tunisia,local,mixed,none_reported,spineless cactus-alley cropping system for sustainable land use,both,uptake_adoption; yields_productivity; income_assets,"cash flow, livestock numbers, cereal cultivation",modeling_with_empirical_validation,research,secondary_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
