Id,Item,Caroline Staub,Jennifer Cisse,CJ Reconciled,LLMr1b,LLMr1a,LLM
125897190,"A Comparative Study of the Impacts of Flooding on Food Security of Urban and Rural Households in Blantyre City and Chikwawa, Malawi",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893151,A fresh look at shifting cultivation: Fallow length an uncertain indicator of productivity,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897867,A meta-analysis of economic and environmental benefits of conservation agriculture in South Asia,EXCLUDE,INCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895406,A theoretical assessment of the environmental change from floodplain rice fields to irrigated perimeters: A case study in the San Francisco Sergipano Low Valley in the Northeast Region of Brazil,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125891458,Adaptation strategies of citrus and tomato farmers towards the effect of climate change in Nigeria,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125892444,Adaptation to climate change in Uganda: Evidence from micro level data,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125893346,Adapting the current mass mobilization approach in Ethiopia to enhance its impact on sustainable land management: Lessons from the Sago-kara watershed,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125903674,Adapting to climate change amidst innovation diffusion and declining indigenous agricultural knowledge and practices in Ghana,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125897815,Adoption determinants of multiple climate smart agricultural technologies in Zimbabwe: Considerations for scaling-up and out,EXCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125896364,"Adoption of climate-smart agriculture practices and differentiated nutritional outcome among rural households: a case of Punjab province, Pakistan",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125900683,Adoption of climate-smart agriculture technology in drought-prone area of India – implications on farmers' livelihoods,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125890333,"Agricultural water demand, water quality and crop suitability in Souk-Alkhamis Al-Khums, Libya",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
