Id,Item,DOI,Year,Publication,Abstract,Full_Text_File,Caroline Staub,Jennifer Cisse,Reconciled,Reconciliation Notes
9944239889,Agent-based social simulation: A method for assessing the impact of seasonal climate forecast applications among smallholder farmers,10.1016/j.agsy.2004.02.009,2005,Agricultural Systems,"Seasonal climate forecasts provide probabilistic information on future climate on timescales of two to three months. Where this information is not presently used it is difficult to evaluate the impact it might have. In order to justify disseminating the information to marginal groups it is important that the potential impact of the forecast is explored so that the negative and positive effects are at least partially appreciated before use of the information is widely promoted. We use an agent-based social simulation model, based on empirical evidence from field work in Lesotho, to assess the impact of using seasonal forecasts among smallholder farmers. The impact of using the forecast depends on the agents' initial household characteristics, what options they choose in responding to the forecast and the trust they place in the forecast (which in turn depends on their ability to learn and to follow their neighbours). Interaction of climate, crop productivity and social factors determines how much household-agents benefit or lose, evaluated in terms of crop yields and likelihood of exhausting food storage. Adoption of the forecast has the potential to decrease starvation among marginal household-agents but poor forecasts may do more harm than good. This work suggests that if forecasts are not correct more than 60–70% of the time, then they are unlikely to benefit poor farmers. Poor forecasts, or forecasts that fail badly, when they do fail, lead to longer adoption timescales for forecast use. Further investigation into the impact of the forecast at the village level is encouraged before dissemination is actively pursued without appreciating potential impacts.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agsy.2004.02.009.pdf,,,,
33748445475,"Farm-level adoption of sorghum technologies in Tigray, Ethiopia",10.1016/j.agsy.2006.02.002,2006,Agricultural Systems,"Curtailing the effect of Striga weed, improving moisture availability and increasing soil fertility are essential strategies to increase the productivity of agriculture in the sorghum producing semi-arid areas of Ethiopia. The adoption of Striga resistant sorghum varieties and inorganic fertilizer on small subsistence farms in Tigray, Ethiopia was analyzed to identify the factors determining farmers’ adoption decisions. Separate Tobit regression models were estimated on survey data of a random sample of 90 farm households conducted in 2001. Results indicate that access to information, soil type, and farmers’ perceptions of technology characteristics and rainfall risk were the factors associated with the adoption of the new sorghum cultivars. In contrast, availability of adult family labour, farm size, manure use, and soil type were the major determinants of the adoption of inorganic fertilizers. Farm size is negatively related to fertilizer adoption as small farms are more pressured to adopt inorganic fertilizer and intensive production techniques. Instead of the over emphasis of on short cycle varieties as a means of coping with drought and Striga, breeders need to generate intermediate and longer season Striga resistant cultivars to increase productivity during moderate and good rainfall years. Varieties combining the desirable characteristics of higher grain and biomass yields of the traditional cultivars with Striga resistance are expected to be more successfully adopted.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agsy.2006.02.002.pdf,,,,
33947288619,Adaptive agricultural system to dynamic water condition in a low-lying area of Bangladesh,10.6090/jarq.41.25,2007,Japan Agricultural Research Quarterly,"The authors describe how farmers of Jawar village, which is located on the fringe of a large inundated area (haor) in Bangladesh, engage in agriculture and try to evaluate their traditional agricultural techniques. The farmers of the village cultivate a high yield variety (HYV) aman rice in high-elevation fields, a local variety (LV) in low-elevation fields and both varieties in medium-elevation fields to fit the ordinal water condition of the rainy season. In a flooding year they transplant LV aman rice even in parts of medium- and high-elevation fields where HYV is transplanted under ordinal circumstances in order to be well adapted to the dynamic hydrological condition. Aman rice cultivation in Jawar village is used to cope with flooding and water receding and the dry field crop (rabi) area increases in the following dry season to recover from losses in rice production of the former rainy season. Total rabi cultivated area of a flooding year is two times larger than that of the year before flooding, especially mustard cultivated area is three times larger. It can be said the farmers implement two countermeasures to increase crop production security; selecting a local rice variety in the rainy season and increasing rabi cropping area in the dry season have been adapted to meet the dynamic hydrological condition.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.6090_jarq.41.25.pdf,,,,
56949096357,Assessing vulnerability of selected farming communities in the Philippines based on a behavioural model of agent's adaptation to global environmental change,10.1016/j.gloenvcha.2008.08.006,2008,Global Environmental Change,"Behavioural models that allow simple representation of the complexity of human–environment links are important in vulnerability assessment because they allow the analysis of human adaptive processes in a changing environment. This paper applies an agent-based framework that considers the behavioural model of farmers in three villages in a municipality in the Philippines. Agent-based modelling is a useful policy tool for simulating the effects of different adaptation options on reducing vulnerability because it allows representation of not only the dynamic changes in climate and market but also the dynamic adaptive process of different groups of communities to the impacts of these changes. Model simulations of adaptation options under various global change scenarios showed that production support would significantly reduce future vulnerability only if complemented with appropriate market support. It is thus important for policy to provide a complementary bundle of adaptation measures. Lack of money and information are the most important reasons for not applying available technical adaptation measures, which currently hinder reduction of vulnerability in selected villages in the municipality. Social networks, which play an important role in adapting to environmental changes, are limited to relatives and neighbours, who are important sources of informal credit.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.gloenvcha.2008.08.006.pdf,,,,
49049089149,Building adaptive capacity to cope with increasing vulnerability due to climatic change in Africa - A new approach,10.1016/j.pce.2008.06.048,2008,Physics and Chemistry of the Earth,"The world community faces many risks from climate change, with most scenarios indicating higher temperatures and more erratic rainfall in Africa. Predictions for southern Africa suggest a general decrease in total seasonal rainfall, accompanied by more frequent in-season dry spells that will significantly impact crop and livestock production, and hence economic growth in the region. The hardest hit will be the rural poor in the drier areas, where crop failure due to drought is already common and chronic food emergencies afflict the region in most years. Lessons can be learnt on how the rural poor currently cope with the vagaries of climate and these can be used to help them adapt their current production systems to the future threats of further climate change. But this assumes the institutions that work towards the economic empowerment of the rural poor have the requisite skills to understand their current coping strategies and how adaptation can be facilitated. A new initiative led by Midlands State University and the Zambian Meteorological Office proposes that improving the ability of institutions that train the ‘Future Change Agents’, who will subsequently support smallholder communities in adapting their agricultural practices to current climate variability, is the first step in building adaptive capacity to cope with future climate change. The capacity of African scientists, regional organizations and decision-makers in dealing with the issues of climate change and adaptation will be enhanced on a continuing basis, and the impacts of their agricultural development programs improved.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.pce.2008.06.048.pdf,,,,
47249140886,Local perceptions and regional climate trends on the Central Plateau of Burkina Faso,10.1002/ldr.842,2008,Land Degradation and Development,"Abstract Due to devastating droughts in the 1970s and 1980s, climatic and environmental change in the West African Sahel has attracted a great deal of scientific research. While many of these studies documented a long‐term trend of declining rainfall, analyses conducted in the last few years suggest that a ‘recovery’ is underway. Drawing on ethnographic interviews, focus groups, and participant observation in two Provinces of the Central Plateau of Burkina Faso, we elicited local perspectives on these rainfall trends from the people who are most directly affected, namely local farmers. Fieldwork revealed that farmers in the research sites perceive that both overall seasonal rainfall and the number of ‘big rains’ during the rainy season have decreased over the last 30 years. We then tested these perceptions against rainfall records from nearby meteorological stations and found them to be corroborated. This paper illustrates how farmers of the Central Plateau now view drought as ‘normal’, having incorporated drought‐mitigation adaptations into their agricultural systems. Our case study highlights the need for ground truthing scientific analyses and assessing livelihood implications at the local level. It also advocates for sustained institutional support for rural communities, to increase their ability to adapt to climate change. Copyright © 2008 John Wiley & Sons, Ltd.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1002_ldr.842.pdf,,,,
56949094907,Stakeholders' views in reducing rural vulnerability to natural disasters in Southern Mexico: Hazard exposure and coping and adaptive capacity,10.1016/j.gloenvcha.2008.09.004,2008,Global Environmental Change,"This paper examines how climatic events affect agricultural livelihoods. Special emphasis is given to the effects of natural disasters on migration patterns. In addition, this manuscript aims to assess policy options to reduce the vulnerability of small-scale farmers (e.g. government-supported insurance schemes) in the context of the Mexican government's withdrawal from directly subsidizing the agricultural sector over the past 18 years. To further this aim, this work draws on stakeholder consultations (based on questionnaires and interviews) and descriptive analysis in three communities in the southern state of Chiapas, Mexico. It also puts forward stakeholder-based solutions, which embrace loss-sharing and risk-transfer mechanisms. The coping strategies revealed in this study encompass both immediate responses (e.g. sources of off-farm income, post-disaster financing sources, and emigration plans), and more structural and long-term strategies, such as re-orientation of production and improvement of infrastructure for production.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.gloenvcha.2008.09.004.pdf,,,,
67349206558,Croppers to livestock keepers: livelihood transitions to 2050 in Africa due to climate change,10.1016/j.envsci.2008.08.006,2009,Environmental Science and Policy,"The impacts of climate change are expected to be generally detrimental for agriculture in many parts of Africa. Overall, warming and drying may reduce crop yields by 10–20% to 2050, but there are places where losses are likely to be much more severe. Increasing frequencies of heat stress, drought and flooding events will result in yet further deleterious effects on crop and livestock productivity. There will be places in the coming decades where the livelihood strategies of rural people may need to change, to preserve food security and provide income-generating options. These are likely to include areas of Africa that are already marginal for crop production; as these become increasingly marginal, then livestock may provide an alternative to cropping. We carried out some analysis to identify areas in sub-Saharan Africa where such transitions might occur. For the currently cropped areas (which already include the highland areas where cropping intensity may increase in the future), we estimated probabilities of failed seasons for current climate conditions, and compared these with estimates obtained for future climate conditions in 2050, using downscaled climate model output for a higher and a lower greenhouse-gas emission scenario. Transition zones can be identified where the increased probabilities of failed seasons may induce shifts from cropping to increased dependence on livestock. These zones are characterised in terms of existing agricultural system, current livestock densities, and levels of poverty. The analysis provides further evidence that climate change impacts in the marginal cropping lands may be severe, where poverty rates are already high. Results also suggest that those likely to be more affected are already more poor, on average. We discuss the implications of these results in a research-for-development targeting context that is likely to see the poor disproportionately and negatively affected by climate change.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.envsci.2008.08.006.pdf,,,,
62949127901,"The local impacts of climate change in the Ferlo, Western Sahel",10.1007/s10584-008-9500-3,2009,Climatic Change,"Recent increases in the accuracy of climate models have enhanced the possibilities for analyzing the impacts of climate change on society. This paper explores how the local, economic impacts of climate change can be modeled for a specific eco-region, the Western Sahel. The people in the Sahel are highly dependent on their natural resource base, and these resources are highly vulnerable to climate change, in particular to changes in rainfall. Climate models project substantial changes in rainfall in the Sahel in the coming 50 years, with most models predicting a reduction in rainfall. To connect climate change to changes in ecosystem productivity and local income, we construct an ecological–economic model that incorporates rangeland dynamics, grazing and livestock prices. The model shows that decreased rainfall in the Sahel will considerably reduce local incomes, in particular if combined with increases in rainfall variability. Adaptation to these climate change projections is possible if reductions in rainfall are followed by destocking to reach efficient grazing levels. However, while such a strategy is optimal from the perspective of society, the stocking rate is determined by individual pastoralists that face few incentives to destock.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s10584-008-9500-3.pdf,,,,
73049092934,"How do small-holder farmers understand insurance, and how much do they want it? Evidence from Africa",10.1016/j.gloenvcha.2009.10.007,2010,Global Environmental Change,"Innovative micro-insurance schemes can be one tool to help African small-holder farmers cope with climate variability and change. A critical challenge for implementing such risk transfer programs, however, is helping participants understand how insurance operates, and there is evidence that farmers with a poor understanding of insurance are less likely to use it. One of the proposed tools to help farmers understand insurance is a simulation game, through which farmers can gain first-hand experience with a functioning insurance market. This paper reports on the results of experiments in Ethiopia and Malawi, investigating farmers’ understanding and the effectiveness of a role-playing game at improving that understanding. Our results suggest a generally poor understanding of basic insurance concepts, and are consistent with past results in suggesting that better understanding correlates with greater willingness to purchase it. Our results also suggest that role-playing games may be an important tool for improving understanding, but that they do not necessarily out-perform more conventional training practices.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.gloenvcha.2009.10.007.pdf,,,,
80054071324,Adaptive strategies to climate change in Southern Malawi,10.1016/j.pce.2011.08.012,2011,Physics and Chemistry of the Earth,"Climate change poses a big challenge to rural livelihoods in the Shire Valley area of Southern Malawi, where communities have depended almost entirely on rain-fed agriculture for generations. The Shire Valley area comprises of low-altitude dambo areas and uplands which have been the main agricultural areas. Since early to mid 1980s, the uplands have experienced prolonged droughts and poor rainfall distribution, while the dambos have experienced recurrent seasonal floods. This study assessed some of the adaptive strategies exercised by small-scale rural farmers in response to climate change in the Shire Valley. The methodology used in collecting information includes group discussions, household surveys in the area, secondary data, and field observations. The results show that small-scale rural farmers exercise a number of adaptive strategies in response to climate change. These adaptive strategies include: increased use of water resources for small-scale irrigation or wetland farming, mostly using simple delivery techniques; increased management of residual moisture; and increased alternative sources of income such as fishing and crop diversity. It was also observed that government promoted the use of portable motorized pumps for small-scale irrigation in order to mitigate the effects of climate change. However, these external interventions were not fully adopted; instead the farmers preferred local interventions which mostly had indigenous elements.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.pce.2011.08.012.pdf,,,,
