doi,title,year,confirmed_include,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,strengths_and_limitations,lessons_learned,coder_id,notes,procurement_status
10.1002/ird.151,Where indigenous water management practices overcome failures of structures: The Wadi Laba spate irrigation system in Eritrea,2005,Yes,2005,journal_article ,"Eritrea, Horn of Africa",local,mixed,migrant_seasonal_workers,"Traditional/indigenous water management practices, full community labor participation, rotational water-sharing rules, and coordinated seasonal migration to upper catchments to manage unpredictable flood events and structural failures in spate irrigation","decision_making_planning, participation_coproduction , livelihoods, institutional_governance","Irrigated surface area, flood discharge estimation ($m^3s^{-1}$) mapped over time, loss of irrigable land due to erosion/sand intrusion (hectares), vegetation cover reduction (%), walking distance to fetch brushwood, and conflict occurrences","qualitative, quantitative",research,surveys,seasonal,no,The study benefits from prolonged field presence providing velocity-area flood data paired directly with historical community interviews;Structural modernization was planned and initiated with very limited baseline data on traditional operations; groundwater resources in the area remain systematically unstudied,"The ""full farmers' participation"" principle creates a mandatory community obligation where all farmers contribute labor to repair damaged infrastructure, ensuring the system can withstand devastating high-magnitude floods. This collective effort is reinforced by unique, equitable water-sharing rules—such as giving absolute priority rights to tail-end farmers during large floods and prioritizing fields left dry from previous seasons—which foster the widespread community trust and cooperation necessary to sustain physical structures. Furthermore, the community balances its local maintenance duties with seasonal migration to the upper catchment for supplementary food and fodder by enforcing strict regulations: critical assets like draught oxen must remain on-site, and sub-group and group leaders must operate on alternating rotational shifts to ensure continuous system oversight. Ultimately, as technical modernization projects are implemented, a high degree of discrepancy between new structural designs and these deeply embedded indigenous water management arrangements could risk the long-term viability and success of the development efforts.",SZC,,done
10.1007/s10584-021-03204-y,"Crop-climate model in support of adjusting local ecological calendar in the Taxkorgan, eastern Pamir Plateau",2021,Yes,2021,journal_article ,China,local,crop,indigenous_peoples,Adjusting local ecological/crop calendars (sowing and harvesting dates) based on thermal accumulation (GDD) and water requirements (ETc) to mitigate climate change risks,"knowledge_awareness_learning, decision_making_planning, resilience_adaptive_capacity","Growing degree days (GDD), crop evapotranspiration (ETc), crop yield/production, onset dates of green-up (BGS), onset dates of dormancy (EGS), length of growing season (LGS)","qualitative, quantitative, participatory, modeling_with_empirical_validation",research,"surveys, remote_sensing",longitudinal,no,"The assessment benefits from integrating historical climatic records, remote sensing phenology metrics, and local Indigenous ethnoecological knowledge. However, a limitation noted is that barley production and plantation area data were not continuous over the timeline, restricting full empirical evaluation for that specific crop.","Warming in high-altitude mountain regions shortens the number of days required for crop maturation, which acts as a benefit that progressively increases crop yields if farming practices adapt.",SZC,,done
10.1007/s10640-013-9696-1,Managing Environmental Risk in Presence of Climate Change: The Role of Adaptation in the Nile Basin of Ethiopia,2014,Yes,2014,journal_article ,"Ethiopia, Nile Basin",sub-national,mixed,"women, youth","Portfolio of strategies including changing crop varieties, adopting water harvesting, and implementing soil and water conservation.","decision_making_planning, uptake_adoption, participation_coproduction , yields_productivity, wellbeing, risk_reduction, resilience_adaptive_capacity",Downside risk exposure measured by the skewness of crop yields (the third central moment of the crop yield distribution); agricultural productivity / quantity produced per hectare,"quantitative, modeling_with_empirical_validation",research,surveys,cross_sectional,yes,"Controls for unobserved heterogeneity, sample selection bias, and farmer skills using an endogenous switching regression model combined with Mundlak’s fixed effects approach. Uses a flexible moment-based specification to measure actual downside risk (crop failure) rather than just variance;Relies strictly on cross-sectional data which prevents analyzing dynamic aspects of risk management decisions over time. Does not distinguish or separate out the effects of different individual types of adaptation strategies. Missing fine-grained daily weather information for heat-stress modeling","Past adaptation to climate change successfully reduces current downside risk exposure and diminishes the probability of crop failure, making adapters more resilient to climatic conditions",SZC,,done
10.1016/j.envc.2021.100223,The influence of rainfall and soil-type distribution on uptake of small grains in semi-arid regions of Zimbabwe: A case of Mberengwa and Zvishavane districts,2021,Yes,2021,journal_article ,"Zimbabwe, Mberengwa and Zvishavane districts",sub-national,crop,women,"Small grain production (sorghum, millet, rapoko) as an alternative to drought-intolerant large grains like maize to build climate change resilience in semi-arid areas","uptake_adoption , behavioral_change","Small grain uptake rate (percentage of households/wards adopting small grains), precipitation distribution/amount (mm), and spatial distribution of soil types (Ustalfs, Ochrepts, Tropepts)","qualitative, quantitative, participatory",research,"surveys, administrative_data, participatory_methods, secondary_data",longitudinal,no,not_found,Precipitation amount and soil moisture retention capacity have a strong inverse relationship with small grain uptake; areas with the highest rainfall and best clay-heavy soils demonstrate the lowest uptake because maize remains viable,SZC,,
10.1016/j.marpol.2023.105577,Small island nations can achieve food security benefits through climate-adaptive blue food governance by 2050,2023,Yes,2023,journal_article ,Worldwide study covering 31 small island nations,multi-country,fisheries_aquaculture,none_reported,Climate-adaptive fisheries governance strategies and adaptive management to handle shifting marine resources and climate change impacts,"decision_making_planning, risk_reduction, resilience_adaptive_capacity",Potential seafood surpluses or deficits by 2050 (measured by combining projections of seafood demand and local catch under different future carbon emissions and adaptive management scenarios),"quantitative, modeling_with_empirical_validation",research,secondary_data,longitudinal,no,not_found,"Adapting fisheries management every 10 years can mitigate the worst-case projections of climate change impacts on locally available seafood for several small island nations, building a seafood surplus by 2050",SZC,,
10.1016/j.wace.2017.03.001,Analysis of farmers’ adaptation to weather extremes in West African Sudan Savanna,2017,Yes,2017,journal_article ,Ghana (Upper East) and Burkina Faso (Southwest),regional,mixed,"women, youth","Farmers' adaptation to recent weather extremes (specifically heat stress, dry spells/drought, and erratic rainfall) along cost-related dimensions (direct vs. supportive measures)","knowledge_awareness_learning, decision_making_planning, uptake_adoption , yields_productivity, income_assets","Number of adaptation strategies, direct/supportive measure adoption propensities, climatic indices, and household socioeconomic characteristics (TLU, farm implements, cropland, credit, extension)",quantitative,research,surveys,cross_sectional,yes,It is the first study conducted in West Africa to analyze adaptation along cost-related dimensions while simultaneously exploring within- and between-measure interdependencies and estimating joint/marginal probabilities via a multivariate probit and Poisson regression model. It validates subjective farmer perceptions using objective historical grid climate data,"Institutional access to credit and extension services, larger farm sizes, and mechanization are the key drivers that enable smallholder farmers to successfully adopt a complementary mix of low-cost direct and high-cost supportive measures to mitigate the risks of extreme weather events.",SZC,,done
10.1175/wcas-d-20-0135.1,"Farmers’ Perception, Adaptation to Groundwater Salinity, and Climate Change Vulnerability: Insights from North India",2021,Yes,2021,journal_article ,"India, North India (Haryana, Mewat district)",local,mixed,"women, youth","Farmers' perceptions and adaptation strategies regarding climate change-induced groundwater salinity, water scarcity, and land degradation","knowledge_awareness_learning, decision_making_planning, participation_coproduction , behavioral_change, yields_productivity, access_information_services","Rainfall trends, maximum-minimum temperatures, potential evapotranspiration (PET), groundwater levels, household demographics (education, gender, social category, family size), landholding size, annual household income, drinking water costs, percent of land degraded, crop yield/productivity, and livestock numbers","qualitative, quantitative, participatory",research,"surveys, administrative_data",longitudinal,yes,Employs a robust mixed-method approach blending long-term scientific secondary trend data with nuanced primary field insights (survey and case studies) to understand the direct human dimension of an environmental problem,"Perceived impacts act as a far stronger determinant for poor farmers to adapt than general climate change awareness. Farmers perform their own localized cost-benefit analyses before deploying adaptation measures. While economic background heavily dictates how a farmer perceives structural threats (like land degradation vs. crop loss), educational and social backgrounds are the primary drivers determining whether they can successfully implement adaptive technologies (like sprinklers or laser leveling). External institutional, financial, and infrastructural support (such as subsidies or canal access) are vital facilitators to prevent resource-poor communities from falling into permanent poverty traps",SZC,,done
10.30682/nm1902f,Social and private profitability of tree-based adaptation options to climate change in a dryland area of Tunisia,2019,Yes,2019,journal_article ,Tunisia,local,mixed,none_reported,tree-based adaptation techniques (olive tree plantation and intercropping with cactus) under climate change and water scarcity,"knowledge_awareness_learning, decision_making_planning, participation_coproduction , institutional_governance, yields_productivity, behavioral_change","Net Present Value (NPV), Internal Rate of Return (IRR), agricultural land use changes, crop productivity/yield, water demand/costs, and carbon sequestration","qualitative, quantitative",research,"surveys, secondary_data",cross_sectional,yes,"Sets a useful precedent by integrating public, private, and global community cost-benefit perspectives into a quantitative social CBA framework while accounting for local water table externalities","Rainfed olive tree plantation is completely unprofitable from both private and social perspectives, meaning public subsidies for it are unjustified. Conversely, irrigated olive trees are highly profitable for farmers but generate substantial hidden environmental costs for society via accelerated groundwater decline. Cactus alley-cropping serves as a superior, ""win-win"" alternative that successfully balances public resource limits with private economic incentives by improving livestock nutrition, lowering feed costs, and tolerating drought without requiring supplemental irrigation",SZC,,done
10.4324/9781315199948-18,Climate Forecasts in Swaziland: Perspectives from Agribusiness,2017,No,2017,journal_article ,,,,,,,,,,surveys,cross_sectional,yes,,,SZC,PDF could not be retrieved during procurement,Skip - NA
10.1007/s10584-014-1186-0,Climate change adaptation strategies for smallholder farmers in the Brazilian Sertao.,,Yes,2014,journal_article ,"Brazil, Sertão (Bahía state, Bacia do Jacuípe county)",sub-national,mixed,none_reported,"Small-scale efficient drip irrigation systems to improve food production, and education/extension on balanced animal feeding practices to increase milk and meat productivity","uptake_adoption , behavioral_change, participation_coproduction","Meteorological trends (daily minimum/maximum temperatures, annual precipitation, rainfall intensity indices, consecutive dry days); Agricultural/Livestock trends (milk production, number of cows, average milk yield per cow, land cover change); Irrigation pilot metrics (fixed/operating costs, revenues, profit, Net Present Value, Internal Rate of Return, labor hours, returns to labor); Animal feed pilot metrics (milk productivity per animal, value of milk per liter, cost of feed per kg, weight gain of goats, net profit per animal)","qualitative, quantitative, participatory, modeling_with_empirical_validation",project,surveys,cross_sectional,yes,"Utilizes a uniquely robust, half-century daily climate dataset to establish micro-climate trends at the municipality level. Features some of the longest, most detailed continuous economic tracking (2–5 years) of smallholder drip irrigation adoption under real-world conditions where farmers actually financed their own systems rather than receiving them as free project handouts. Includes direct, empirically monitored trial data for livestock modifications;The climate trend analysis had to omit some severe drought years in the 1980s and 1990s because local weather stations shut down due to the extreme climate stress, though sensitivity analysis proved this omission did not alter the overall trend significance. The animal feed optimization trials were short-term (1 to 2 months) and featured very small sample sizes (five farmers for dairy, two farmers for goats), which limited the ability to observe long-term impacts on land-use changes or landscape degradation","the pilot projects demonstrate that smallholder drip irrigation systems drastically improve household income, food consumption, and labor efficiency, yet their success is strictly bound by regional water availability; during severe droughts, ephemeral sources like açudes dry up completely, proving that irrigation cannot stand alone without secure, year-round water storage or regulated groundwater access. Simultaneously, the study shows that simple extension training on optimizing livestock feed ratios—properly balancing roughage, energy, and protein—can rapidly boost average milk yields by 52% and heavily accelerate meat production without forcing farmers into expansive, land-degrading overgrazing practices. Ultimately, to safeguard these agricultural systems against projected climate trends, public policy must pivot away from short-term, reactive emergency relief and instead invest in proactive resilience building during favorable rainy years, focused on scaling water-efficient technologies and optimizing local forage production.",SZC,,
